commune,region,artes_votes,artes_pct,boric_votes,boric_pct,enriquez_ominami_votes,enriquez_ominami_pct,kast_votes,kast_pct,parisi_votes,parisi_pct,provoste_votes,provoste_pct,sichel_votes,sichel_pct,blank_votes,blank_pct,casted_votes,casted_pct,null_votes,null_pct
Alhue,Metropolitana de Santiago,31,1.25,636,25.68,151,6.1,467,18.85,352,14.21,520,20.99,320,12.92,16,0.65,2512,41.06,19,0.77
Buin,Metropolitana de Santiago,513,1.3,10500,26.59,3189,8.08,11635,29.46,5237,13.26,3809,9.64,4609,11.67,132,0.33,39906,51.15,282,0.71
Calera de Tango,Metropolitana de Santiago,115,1.09,2586,24.62,693,6.6,3596,34.23,754,7.18,1067,10.16,1693,16.12,40,0.38,10603,47.07,59,0.56
Cerrillos,Metropolitana de Santiago,595,1.94,9611,31.3,3530,11.5,7195,23.43,2993,9.75,2983,9.71,3802,12.38,86,0.28,31015,46.6,220,0.72
Cerro Navia,Metropolitana de Santiago,1435,2.96,15350,31.69,7016,14.48,8802,18.17,5404,11.16,5813,12,4618,9.53,221,0.46,49019,43.12,360,0.74
Colina,Metropolitana de Santiago,385,0.83,7968,17.1,3011,6.46,18095,38.83,3995,8.57,3522,7.56,9621,20.65,169,0.36,47059,50.04,293,0.63
Conchalí,Metropolitana de Santiago,1146,2.16,17619,33.21,6538,12.32,10988,20.71,4787,9.02,5972,11.26,6008,11.32,194,0.37,53662,46.14,410,0.77
Curacaví,Metropolitana de Santiago,168,1.25,3875,28.83,1002,7.46,3664,27.26,1238,9.21,1661,12.36,1831,13.62,75,0.56,13610,50.13,96,0.71
El Bosque,Metropolitana de Santiago,1207,1.98,18776,30.76,7734,12.67,13459,22.05,6200,10.16,7127,11.68,6539,10.71,203,0.33,61729,45.4,484,0.79
El Monte,Metropolitana de Santiago,204,1.53,3596,26.97,1289,9.67,3130,23.48,1890,14.18,1764,13.23,1458,10.94,83,0.62,13563,48.22,149,1.12
Estación Central,Metropolitana de Santiago,1163,2.21,18230,34.63,5491,10.43,12049,22.89,3632,6.9,5736,10.9,6345,12.05,194,0.37,53301,42.42,461,0.88
Huechuraba,Metropolitana de Santiago,771,1.94,11004,27.66,4067,10.22,9452,23.76,3205,8.06,4524,11.37,6760,16.99,158,0.4,40249,53.97,308,0.77
Independencia,Metropolitana de Santiago,749,2.23,11569,34.45,2802,8.34,8327,24.8,2076,6.18,3414,10.17,4646,13.83,87,0.26,33877,41.05,207,0.62
Isla de Maipo,Metropolitana de Santiago,199,1.45,3466,25.23,1367,9.95,3638,26.49,1505,10.96,1827,13.3,1733,12.62,70,0.51,13903,48.6,98,0.71
Lampa,Metropolitana de Santiago,456,1.58,7393,25.66,3219,11.17,7309,25.37,4002,13.89,2752,9.55,3677,12.76,121,0.42,29141,46.38,212,0.74
Lo Barnechea,Metropolitana de Santiago,200,0.37,4615,8.43,1249,2.28,28309,51.68,1189,2.17,2570,4.69,16644,30.39,102,0.19,55042,65.32,164,0.3
Lo Espejo,Metropolitana de Santiago,923,2.45,12548,33.32,5690,15.11,6383,16.95,4296,11.41,4582,12.17,3233,8.59,164,0.44,38117,42.92,298,0.79
Lo Prado,Metropolitana de Santiago,910,2.29,12923,32.54,5271,13.27,7554,19.02,3879,9.77,4785,12.05,4394,11.06,166,0.42,40181,46.24,299,0.75
Macul,Metropolitana de Santiago,962,1.78,19448,35.94,4314,7.97,11868,21.93,3105,5.74,5998,11.08,8416,15.55,139,0.26,54600,54.58,350,0.65
Maipú,Metropolitana de Santiago,4142,2.01,75643,36.65,20931,10.14,42676,20.68,17680,8.57,19359,9.38,25977,12.59,413,0.2,208248,53.05,1427,0.69
Maria Pinto,Metropolitana de Santiago,47,0.86,1508,27.46,420,7.65,1483,27.01,485,8.83,756,13.77,792,14.42,32,0.58,5553,46.81,30,0.55
Melipilla,Metropolitana de Santiago,590,1.44,10618,25.91,2824,6.89,12241,29.87,4351,10.62,4810,11.74,5547,13.54,191,0.47,41499,42.32,327,0.8
Padre Hurtado,Metropolitana de Santiago,418,1.69,7117,28.74,3123,12.61,5178,20.91,3527,14.24,2627,10.61,2774,11.2,87,0.35,25046,53.65,195,0.79
Paine,Metropolitana de Santiago,266,1,7020,26.52,2099,7.93,8429,31.85,3212,12.14,2699,10.2,2743,10.36,125,0.47,26801,48.65,208,0.79
Pedro Aguirre Cerda,Metropolitana de Santiago,1400,3.12,17061,38.07,5660,12.63,7565,16.88,3541,7.9,5050,11.27,4534,10.12,138,0.31,45349,49.57,400,0.89
Peñaflor,Metropolitana de Santiago,599,1.62,10886,29.41,4264,11.52,7694,20.79,5103,13.79,4238,11.45,4229,11.43,132,0.36,37435,50.99,290,0.78
Peñalolen,Metropolitana de Santiago,1664,1.75,30779,32.42,9789,10.31,19456,20.49,7119,7.5,11182,11.78,14942,15.74,347,0.37,95956,50.33,678,0.71
Pirque,Metropolitana de Santiago,151,1.19,3587,28.2,1025,8.06,3614,28.41,849,6.67,1504,11.82,1992,15.66,43,0.34,12852,54.68,87,0.68
Providencia,Metropolitana de Santiago,833,0.87,29001,30.23,2063,2.15,30223,31.5,1302,1.36,10313,10.75,22196,23.14,196,0.2,96543,56.49,416,0.43
Pudahuel,Metropolitana de Santiago,2028,2.53,26745,33.31,10562,13.15,15263,19.01,8608,10.72,8275,10.31,8815,10.98,259,0.32,81202,47.82,647,0.81
Puente Alto,Metropolitana de Santiago,4077,2.14,68938,36.25,22321,11.74,33914,17.83,19349,10.17,18244,9.59,23323,12.26,549,0.29,192293,47.7,1578,0.83
Quilicura,Metropolitana de Santiago,1458,2.11,22670,32.88,8280,12.01,12966,18.8,8687,12.6,6869,9.96,8028,11.64,188,0.27,69625,49.1,479,0.69
Quinta Normal,Metropolitana de Santiago,1068,2.34,15937,34.94,5075,11.13,9938,21.79,3301,7.24,4832,10.59,5457,11.97,128,0.28,46094,45.56,358,0.78
Recoleta,Metropolitana de Santiago,1547,2.52,21858,35.64,6378,10.4,13211,21.54,4627,7.54,6495,10.59,7216,11.77,234,0.38,62051,44.18,485,0.79
Renca,Metropolitana de Santiago,1285,2.54,16069,31.73,7295,14.41,8925,17.62,6233,12.31,5981,11.81,4851,9.58,186,0.37,51236,44.25,411,0.81
San Bernardo,Metropolitana de Santiago,1675,1.72,29945,30.67,11311,11.59,23430,24,11024,11.29,10008,10.25,10233,10.48,343,0.35,98771,43.22,802,0.82
San Joaquín,Metropolitana de Santiago,940,2.41,14987,38.45,4250,10.9,6971,17.88,3048,7.82,4406,11.3,4379,11.23,143,0.37,39445,48.84,321,0.82
