commune;region;artes_votes;artes_pct;boric_votes;boric_pct;enriquez_ominami_votes;enriquez_ominami_pct;kast_votes;kast_pct;parisi_votes;parisi_pct;provoste_votes;provoste_pct;sichel_votes;sichel_pct;blank_votes;blank_pct;casted_votes;casted_pct;null_votes;null_pct
Alhue;Metropolitana de Santiago;31.0;1.25;636.0;25.68;151.0;6.1;467.0;18.85;352.0;14.21;520.0;20.99;320.0;12.92;16.0;0.65;2512.0;41.06;19.0;0.77
Buin;Metropolitana de Santiago;513.0;1.3;10500.0;26.59;3189.0;8.08;11635.0;29.46;5237.0;13.26;3809.0;9.64;4609.0;11.67;132.0;0.33;39906.0;51.15;282.0;0.71
Calera de Tango;Metropolitana de Santiago;115.0;1.09;2586.0;24.62;693.0;6.6;3596.0;34.23;754.0;7.18;1067.0;10.16;1693.0;16.12;40.0;0.38;10603.0;47.07;59.0;0.56
Cerrillos;Metropolitana de Santiago;595.0;1.94;9611.0;31.3;3530.0;11.5;7195.0;23.43;2993.0;9.75;2983.0;9.71;3802.0;12.38;86.0;0.28;31015.0;46.6;220.0;0.72
Cerro Navia;Metropolitana de Santiago;1435.0;2.96;15350.0;31.69;7016.0;14.48;8802.0;18.17;5404.0;11.16;5813.0;12.0;4618.0;9.53;221.0;0.46;49019.0;43.12;360.0;0.74
Colina;Metropolitana de Santiago;385.0;0.83;7968.0;17.1;3011.0;6.46;18095.0;38.83;3995.0;8.57;3522.0;7.56;9621.0;20.65;169.0;0.36;47059.0;50.04;293.0;0.63
Conchali;Metropolitana de Santiago;1146.0;2.16;17619.0;33.21;6538.0;12.32;10988.0;20.71;4787.0;9.02;5972.0;11.26;6008.0;11.32;194.0;0.37;53662.0;46.14;410.0;0.77
Curacavi;Metropolitana de Santiago;168.0;1.25;3875.0;28.83;1002.0;7.46;3664.0;27.26;1238.0;9.21;1661.0;12.36;1831.0;13.62;75.0;0.56;13610.0;50.13;96.0;0.71
El Bosque;Metropolitana de Santiago;1207.0;1.98;18776.0;30.76;7734.0;12.67;13459.0;22.05;6200.0;10.16;7127.0;11.68;6539.0;10.71;203.0;0.33;61729.0;45.4;484.0;0.79
El Monte;Metropolitana de Santiago;204.0;1.53;3596.0;26.97;1289.0;9.67;3130.0;23.48;1890.0;14.18;1764.0;13.23;1458.0;10.94;83.0;0.62;13563.0;48.22;149.0;1.12
Estacion Central;Metropolitana de Santiago;1163.0;2.21;18230.0;34.63;5491.0;10.43;12049.0;22.89;3632.0;6.9;5736.0;10.9;6345.0;12.05;194.0;0.37;53301.0;42.42;461.0;0.88
Huechuraba;Metropolitana de Santiago;771.0;1.94;11004.0;27.66;4067.0;10.22;9452.0;23.76;3205.0;8.06;4524.0;11.37;6760.0;16.99;158.0;0.4;40249.0;53.97;308.0;0.77
Independencia;Metropolitana de Santiago;749.0;2.23;11569.0;34.45;2802.0;8.34;8327.0;24.8;2076.0;6.18;3414.0;10.17;4646.0;13.83;87.0;0.26;33877.0;41.05;207.0;0.62
Isla de Maipo;Metropolitana de Santiago;199.0;1.45;3466.0;25.23;1367.0;9.95;3638.0;26.49;1505.0;10.96;1827.0;13.3;1733.0;12.62;70.0;0.51;13903.0;48.6;98.0;0.71
Lampa;Metropolitana de Santiago;456.0;1.58;7393.0;25.66;3219.0;11.17;7309.0;25.37;4002.0;13.89;2752.0;9.55;3677.0;12.76;121.0;0.42;29141.0;46.38;212.0;0.74
Lo Barnechea;Metropolitana de Santiago;200.0;0.37;4615.0;8.43;1249.0;2.28;28309.0;51.68;1189.0;2.17;2570.0;4.69;16644.0;30.39;102.0;0.19;55042.0;65.32;164.0;0.3
Lo Espejo;Metropolitana de Santiago;923.0;2.45;12548.0;33.32;5690.0;15.11;6383.0;16.95;4296.0;11.41;4582.0;12.17;3233.0;8.59;164.0;0.44;38117.0;42.92;298.0;0.79
