commune,region,boric_votes,boric_pct,kast_votes,kast_pct,blank_votes,blank_pct,casted_votes,casted_pct,null_votes,null_pct
Alto Hospicio,Tarapacá,11971,50.16,11897,49.84,64,0.26,24211,100,279,1.15
Camiña,Tarapacá,151,17.62,706,82.38,0,0,866,100,9,1.04
Colchane,Tarapacá,52,5.31,928,94.69,1,0.1,984,100,3,0.3
Huara,Tarapacá,545,35.5,990,64.5,6,0.39,1558,100,17,1.09
Iquique,Tarapacá,39347,49.54,40071,50.46,238,0.3,80389,100,733,0.91
Pica,Tarapacá,1290,47.37,1433,52.63,6,0.22,2741,100,12,0.44
Pozo Almonte,Tarapacá,2121,46.3,2460,53.7,15,0.32,4650,100,54,1.16
Antofagasta,Antofagasta,80893,60.39,53051,39.61,390,0.29,135729,100,1395,1.03
Calama,Antofagasta,30837,54.58,25657,45.42,178,0.31,57544,100,872,1.52
Maria Elena,Antofagasta,1350,73.93,476,26.07,5,0.27,1855,100,24,1.29
Mejillones,Antofagasta,3050,68.57,1398,31.43,13,0.29,4515,100,54,1.2
Ollague,Antofagasta,102,45.54,122,54.46,4,1.71,234,100,6,2.56
San Pedro de Atacama,Antofagasta,2217,67.41,1072,32.59,12,0.36,3345,100,44,1.32
Sierra Gorda,Antofagasta,430,60.82,277,39.18,3,0.42,715,100,5,0.7
Taltal,Antofagasta,3078,69.01,1382,30.99,15,0.33,4500,100,25,0.56
Tocopilla,Antofagasta,6052,69.45,2662,30.55,13,0.15,8817,100,90,1.02
Alto del Carmen,Atacama,1236,63.81,701,36.19,5,0.25,1965,100,23,1.17
Caldera,Atacama,5485,68.74,2494,31.26,20,0.25,8066,100,67,0.83
Chañaral,Atacama,4004,73.47,1446,26.53,15,0.27,5503,100,38,0.69
Copiapó,Atacama,38215,61.71,23707,38.29,155,0.25,62598,100,521,0.83
Diego de Almagro,Atacama,3932,75.43,1281,24.57,14,0.26,5286,100,59,1.12
Freirina,Atacama,2132,74.08,746,25.92,7,0.24,2908,100,23,0.79
Huasco,Atacama,3131,72.59,1182,27.41,9,0.21,4358,100,36,0.83
Tierra Amarilla,Atacama,3656,66.47,1844,33.53,20,0.36,5570,100,50,0.9
Vallenar,Atacama,14403,67.82,6834,32.18,49,0.23,21462,100,176,0.82
Andacollo,Coquimbo,4274,74.28,1480,25.72,18,0.31,5833,100,61,1.05
Canela,Coquimbo,3325,68.95,1497,31.05,21,0.43,4863,100,20,0.41
Combarbala,Coquimbo,3876,67.13,1898,32.87,14,0.24,5828,100,40,0.69
Coquimbo,Coquimbo,53671,62.73,31884,37.27,254,0.29,86579,100,770,0.89
Illapel,Coquimbo,9971,70.17,4239,29.83,40,0.28,14345,100,95,0.66
La Higuera,Coquimbo,1300,66.53,654,33.47,4,0.2,1968,100,10,0.51
La Serena,Coquimbo,59745,60.38,39209,39.62,291,0.29,100101,100,856,0.86
Los Vilos,Coquimbo,6614,68.32,3067,31.68,22,0.23,9770,100,67,0.69
Monte Patria,Coquimbo,7967,67,3924,33,55,0.46,12054,100,108,0.9
Ovalle,Coquimbo,27572,62.84,16307,37.16,137,0.31,44403,100,387,0.87
Paihuano,Coquimbo,1648,60.48,1077,39.52,7,0.25,2754,100,22,0.8
Punitaqui,Coquimbo,3043,66.72,1518,33.28,23,0.5,4624,100,40,0.87
Rio Hurtado,Coquimbo,1137,56.32,882,43.68,17,0.83,2055,100,19,0.92
Salamanca,Coquimbo,7357,64.33,4080,35.67,36,0.31,11556,100,83,0.72
Vicuña,Coquimbo,7759,66.58,3894,33.42,27,0.23,11766,100,86,0.73
Algarrobo,Valparaíso,4580,47.33,5096,52.67,23,0.24,9760,100,61,0.62
Cabildo,Valparaíso,6590,68.21,3071,31.79,24,0.25,9756,100,71,0.73
Calera,Valparaíso,16264,66.08,8347,33.92,56,0.23,24861,100,194,0.78
Calle Larga,Valparaíso,4309,63.05,2525,36.95,22,0.32,6914,100,58,0.84
Cartagena,Valparaíso,6229,58.63,4395,41.37,23,0.21,10722,100,75,0.7
Casablanca,Valparaíso,7086,54.07,6019,45.93,31,0.23,13238,100,102,0.77
Catemu,Valparaíso,4026,64,2265,36,12,0.19,6352,100,49,0.77
Concón,Valparaíso,12555,45.54,15012,54.46,131,0.47,28002,100,304,1.09
El Quisco,Valparaíso,5413,57.68,3972,42.32,13,0.14,9466,100,68,0.72
El Tabo,Valparaíso,5030,60.48,3287,39.52,15,0.18,8392,100,60,0.71
Hijuelas,Valparaíso,4721,56.11,3693,43.89,29,0.34,8518,100,75,0.88
Isla de Pascua,Valparaíso,2016,70.27,853,29.73,15,0.51,2923,100,39,1.33
Juan Fernandez,Valparaíso,282,70.5,118,29.5,1,0.25,401,100,0,0
La Cruz,Valparaíso,5571,53.13,4915,46.87,32,0.3,10627,100,109,1.03
La Ligua,Valparaíso,10950,62.05,6698,37.95,39,0.22,17804,100,117,0.66
Limache,Valparaíso,12427,54.87,10222,45.13,64,0.28,22915,100,202,0.88
Llaillay,Valparaíso,8753,70.85,3601,29.15,28,0.22,12470,100,88,0.71
Los Andes,Valparaíso,19279,59.77,12976,40.23,96,0.29,32633,100,282,0.86
Nogales,Valparaíso,7507,69.12,3354,30.88,35,0.32,10976,100,80,0.73
Olmue,Valparaíso,4771,51.22,4543,48.78,20,0.21,9419,100,85,0.9
Panquehue,Valparaíso,2398,60.88,1541,39.12,8,0.2,3972,100,25,0.63
Papudo,Valparaíso,2318,54.07,1969,45.93,5,0.12,4325,100,33,0.76
Petorca,Valparaíso,3678,72.86,1370,27.14,12,0.24,5102,100,42,0.82
Puchuncavi,Valparaíso,6088,60.31,4007,39.69,37,0.36,10211,100,79,0.77
Putaendo,Valparaíso,5049,65.36,2676,34.64,20,0.26,7796,100,51,0.65
Quillota,Valparaíso,23622,56.03,18538,43.97,103,0.24,42595,100,332,0.78
Quilpué,Valparaíso,46478,57.86,33856,42.14,198,0.24,81219,100,687,0.85
Quintero,Valparaíso,8623,61.37,5427,38.63,50,0.35,14208,100,108,0.76
Rinconada,Valparaíso,3487,58.77,2446,41.23,10,0.17,5977,100,34,0.57
San Antonio,Valparaíso,32363,70.35,13640,29.65,97,0.21,46423,100,323,0.7
San Esteban,Valparaíso,5322,58.79,3731,41.21,26,0.28,9189,100,110,1.2
San Felipe,Valparaíso,20196,59.9,13519,40.1,98,0.29,34070,100,257,0.75
Santa Maria,Valparaíso,3833,57.14,2875,42.86,17,0.25,6789,100,64,0.94
Santo Domingo,Valparaíso,3484,41.9,4832,58.1,19,0.23,8409,100,74,0.88
Valparaíso,Valparaíso,99453,65.67,51992,34.33,377,0.25,153082,100,1260,0.82
Villa Alemana,Valparaíso,33951,56.69,25937,43.31,151,0.25,60590,100,551,0.91
Viña del Mar,Valparaíso,93427,54.75,77222,45.25,492,0.28,172638,100,1497,0.87
Zapallar,Valparaíso,2745,43.83,3518,56.17,37,0.58,6382,100,82,1.28
Chepica,Libertador,3374,48.94,3520,51.06,13,0.19,6949,100,42,0.6
Chimbarongo,Libertador,8654,55.2,7024,44.8,43,0.27,15807,100,86,0.54
Codegua,Libertador,3986,61.96,2447,38.04,13,0.2,6495,100,49,0.75
Coinco,Libertador,2153,52.71,1932,47.29,10,0.24,4120,100,25,0.61
Coltauco,Libertador,4844,55.85,3829,44.15,23,0.26,8756,100,60,0.69
Doñihue,Libertador,6427,60.81,4142,39.19,26,0.24,10673,100,78,0.73
Graneros,Libertador,10101,64.03,5675,35.97,49,0.31,15942,100,117,0.73
La Estrella,Libertador,1085,48.01,1175,51.99,8,0.35,2282,100,14,0.61
Las Cabras,Libertador,6025,55.49,4833,44.51,26,0.24,10937,100,53,0.48
Litueche,Libertador,2023,51.25,1924,48.75,9,0.23,3972,100,16,0.4
Lolol,Libertador,1822,47.81,1989,52.19,11,0.29,3840,100,18,0.47
Machalí,Libertador,13176,55.35,10630,44.65,62,0.26,24095,100,227,0.94
