comuna,region,poblacion,pobl_hombres,pobl_mujeres,razon_hom_mujer
camarones,Arica y Parinacota,861.0,430.0,431.0,99.8
putre,Arica y Parinacota,1547.0,846.0,701.0,120.7
general lagos,Arica y Parinacota,508.0,261.0,247.0,105.7
iquique,Tarapacá,199587.0,98413.0,101174.0,97.3
alto hospicio,Tarapacá,142086.0,70649.0,71437.0,98.9
pozo almonte,Tarapacá,16878.0,8667.0,8211.0,105.6
camina,Tarapacá,1335.0,648.0,687.0,94.3
colchane,Tarapacá,790.0,389.0,401.0,97.0
huara,Tarapacá,2858.0,1484.0,1374.0,108.0
pica,Tarapacá,6272.0,3093.0,3179.0,97.3
antofagasta,Antofagasta,401096.0,197979.0,203117.0,97.5
mejillones,Antofagasta,14084.0,7021.0,7063.0,99.4
sierra gorda,Antofagasta,1472.0,707.0,765.0,92.4
taltal,Antofagasta,12097.0,6063.0,6034.0,100.5
calama,Antofagasta,166334.0,82269.0,84065.0,97.9
ollague,Antofagasta,256.0,122.0,134.0,91.0
san pedro de atacama,Antofagasta,9843.0,4768.0,5075.0,94.0
tocopilla,Antofagasta,25400.0,12589.0,12811.0,98.3
maria elena,Antofagasta,4834.0,2477.0,2357.0,105.1
copiapo,Atacama,168831.0,83536.0,85295.0,97.9
caldera,Atacama,18805.0,9396.0,9409.0,99.9
tierra amarilla,Atacama,11846.0,6070.0,5776.0,105.1
chanaral,Atacama,12345.0,6219.0,6126.0,101.5
diego de almagro,Atacama,11397.0,5672.0,5725.0,99.1
vallenar,Atacama,54222.0,26541.0,27681.0,95.9
alto del carmen,Atacama,4788.0,2454.0,2334.0,105.1
freirina,Atacama,7577.0,3743.0,3834.0,97.6
huasco,Atacama,9369.0,4632.0,4737.0,97.8
la serena,Coquimbo,250141.0,120407.0,129734.0,92.8
coquimbo,Coquimbo,263719.0,127926.0,135793.0,94.2
andacollo,Coquimbo,11566.0,5800.0,5766.0,100.6
la higuera,Coquimbo,4335.0,2299.0,2036.0,112.9
paihuano,Coquimbo,4649.0,2310.0,2339.0,98.8
vicuna,Coquimbo,28047.0,13738.0,14309.0,96.0
illapel,Coquimbo,32009.0,15548.0,16461.0,94.5
canela,Coquimbo,9639.0,4869.0,4770.0,102.1
los vilos,Coquimbo,22879.0,11281.0,11598.0,97.3
salamanca,Coquimbo,27823.0,13772.0,14051.0,98.0
ovalle,Coquimbo,118696.0,57311.0,61385.0,93.4
combarbala,Coquimbo,12954.0,6305.0,6649.0,94.8
monte patria,Coquimbo,29997.0,14703.0,15294.0,96.1
punitaqui,Coquimbo,12076.0,5975.0,6101.0,97.9
rio hurtado,Coquimbo,4334.0,2153.0,2181.0,98.7
valparaiso,Valparaíso,284938.0,138494.0,146444.0,94.6
casablanca,Valparaíso,29876.0,14582.0,15294.0,95.3
concon,Valparaíso,48294.0,23153.0,25141.0,92.1
juan fernandez,Valparaíso,904.0,458.0,446.0,102.7
puchuncavi,Valparaíso,22539.0,11156.0,11383.0,98.0
quintero,Valparaíso,35754.0,17507.0,18247.0,95.9
vina del mar,Valparaíso,334871.0,158878.0,175993.0,90.3
isla de pascua,Valparaíso,4800.0,2351.0,2449.0,96.0
los andes,Valparaíso,63440.0,30469.0,32971.0,92.4
calle larga,Valparaíso,16597.0,8139.0,8458.0,96.2
rinconada,Valparaíso,11855.0,5851.0,6004.0,97.5
san esteban,Valparaíso,20112.0,9835.0,10277.0,95.7
la ligua,Valparaíso,39270.0,19171.0,20099.0,95.4
cabildo,Valparaíso,20015.0,9860.0,10155.0,97.1
papudo,Valparaíso,7561.0,3766.0,3795.0,99.2
petorca,Valparaíso,10206.0,5030.0,5176.0,97.2
zapallar,Valparaíso,7980.0,3902.0,4078.0,95.7
quillota,Valparaíso,96753.0,46621.0,50132.0,93.0
calera,Valparaíso,50631.0,24513.0,26118.0,93.9
hijuelas,Valparaíso,19286.0,9518.0,9768.0,97.4
la cruz,Valparaíso,24939.0,11993.0,12946.0,92.6
nogales,Valparaíso,22136.0,10849.0,11287.0,96.1
san antonio,Valparaíso,96770.0,46972.0,49798.0,94.3
algarrobo,Valparaíso,16076.0,7673.0,8403.0,91.3
cartagena,Valparaíso,24599.0,12043.0,12556.0,95.9
el quisco,Valparaíso,18971.0,9088.0,9883.0,92.0
el tabo,Valparaíso,16260.0,7915.0,8345.0,94.8
santo domingo,Valparaíso,13171.0,6437.0,6734.0,95.6
san felipe,Valparaíso,80413.0,38921.0,41492.0,93.8
catemu,Valparaíso,13760.0,6728.0,7032.0,95.7
llaillay,Valparaíso,25484.0,12538.0,12946.0,96.8
panquehue,Valparaíso,7269.0,3582.0,3687.0,97.2
putaendo,Valparaíso,17336.0,8531.0,8805.0,96.9
santa maria,Valparaíso,15134.0,7325.0,7809.0,93.8
quilpue,Valparaíso,162559.0,77149.0,85410.0,90.3
limache,Valparaíso,56145.0,27348.0,28797.0,95.0
olmue,Valparaíso,19778.0,9668.0,10110.0,95.6
villa alemana,Valparaíso,139571.0,65629.0,73942.0,88.8
santiago,Metropolitana de Santiago,438856.0,223237.0,215619.0,103.5
cerrillos,Metropolitana de Santiago,85041.0,41216.0,43825.0,94.0
cerro navia,Metropolitana de Santiago,127250.0,62329.0,64921.0,96.0
conchali,Metropolitana de Santiago,121587.0,59122.0,62465.0,94.6
el bosque,Metropolitana de Santiago,155257.0,75720.0,79537.0,95.2
estacion central,Metropolitana de Santiago,181049.0,88630.0,92419.0,95.9
huechuraba,Metropolitana de Santiago,101808.0,49479.0,52329.0,94.6
independencia,Metropolitana de Santiago,116943.0,56916.0,60027.0,94.8
